YouTube_logotips,Durada_segons
https://youtu.be/1rnhukeECik,727
https://youtu.be/Uj0IRMgDe-M,100
https://youtu.be/2AkaKMU31KY,921
https://youtu.be/uNWUc2-n3-I,621
https://youtu.be/XnGOOz_nyoo,1014
https://youtu.be/37PCtRaxCRQ,119
https://youtu.be/HcreAIyV2sc,118
https://youtu.be/6RaQj73XYrM,593
https://youtu.be/uK3hdjtBJmg,805
https://youtu.be/NVS973igL10,649
https://youtu.be/QXPxOAJm7q8,861
https://youtu.be/CoEv9O0aKsc,123
https://youtu.be/6DttbSKxXh4,157
https://youtu.be/Kv_uSDewtO8,774
https://youtu.be/qRPXTXzm5X4,636
https://youtu.be/Sq4vzupyDlE,86
https://youtu.be/4OZlbsqMan0,110
https://youtu.be/m1JG7UA7UH0,87
https://youtu.be/nUtiRzQ-Wqc,111
https://youtu.be/Ix59xz1YSaw,90
https://youtu.be/KVPqm6R4A4A,68
https://youtu.be/1NOF9_5jVXY,406
https://youtu.be/cTONISXjlw8,620
https://youtu.be/r0FKrRIokhI,138
https://youtu.be/RTxOqu96FFQ,487
https://youtu.be/CvzNofN-ZoE,836
https://youtu.be/wjlKYgtNWBQ,75
https://youtu.be/XI-3OMiFvRg,101
https://youtu.be/Fm5jLSCoZoI,289
https://youtu.be/2E7fuqISRz0,86
https://youtu.be/07lgEOHZRDM,102
https://youtu.be/KCv5fVX5XVE,901
https://youtu.be/afEgeqo-JeU,382
https://youtu.be/zCok4eMs1t0,712
https://youtu.be/KuP_4FcKQfQ,413
https://youtu.be/UTGv98QRx9M,132
https://youtu.be/VYHoz-b7vkg,95
https://youtu.be/MvpHmi42kw8,868
https://youtu.be/YoBDY-vo9Jk,56
https://youtu.be/sXLqRpa3qqs,60
https://youtu.be/5JLtiH3l59k,111
https://youtu.be/icvxYyuU0XY,58
https://youtu.be/Ky6pWdXD-dU,107
https://youtu.be/0RC04d8jqbE,636
https://youtu.be/plTFIntacDU,306
https://youtu.be/l_30UIixQg8,885
https://youtu.be/UGPDPz0OZlQ,313
https://youtu.be/OrZBHI5L2D8,72
https://youtu.be/mGbZAammZ74,109
https://youtu.be/IbaDBBu3xIk,820
https://youtu.be/lC3yivbBC5c,27
https://youtu.be/XXma4CIYTSM,63
https://youtu.be/hCilIL3jhiM,90
https://youtu.be/lh45YbNKxQw,66
https://youtu.be/svEdvQnPEPc,77
https://youtu.be/_OIqUnQiPfI,946
https://youtu.be/sbcM-shmHNM,324
https://youtu.be/YZjLSpvxaAk,639
https://youtu.be/Lfble-1OuT0,354
https://youtu.be/rNE4akwsxyU,76
https://youtu.be/CD6F-aHhpBw,74
https://youtu.be/XUN6DIz7HW0,815
https://youtu.be/vDrz8e4IQVI,32
https://youtu.be/9SDWSM1NnNU,60
https://youtu.be/UV0QlFEK_XA,42
https://youtu.be/16bA-2bfgQs,43
https://youtu.be/BSiximLyGKM,60
https://youtu.be/HEGBGv0oKkM,438
https://youtu.be/0jrUJWS-OJQ,167
https://youtu.be/1UXDky8QFew,480
https://youtu.be/yCnPqW6dAFI,62
https://youtu.be/uy0V_bcSk_o,647
https://youtu.be/PsgbpnjfusE,64
https://youtu.be/FKO-t-c9IXo,135
https://youtu.be/Iw72il4ucOc,74
https://youtu.be/LhPLzLWdNoM,102
https://youtu.be/UuJa6aKVQvc,86
https://youtu.be/Kg6HQD3Z6Iw,787
https://youtu.be/Wk0ht0ZC7Xw,157
https://youtu.be/TRUYnCWUUzk,664
https://youtu.be/ni7m_JMSsC8,241
https://youtu.be/AokjWycF-gg,98
https://youtu.be/DM-d8mmdQfU,85
https://youtu.be/Ebxg5OD6_wU,696
https://youtu.be/-DaGNI7oVT0,574
https://youtu.be/zJ-bsgWd8i4,480
https://youtu.be/-KNIMXfVFLc,682
https://youtu.be/C47d49hzrqQ,179
https://youtu.be/B9Oy83pid6g,83
https://youtu.be/obvk-kJG3yI,108
https://youtu.be/YdLaKvi1feI,796
https://youtu.be/RxFghTiaT84,154
https://youtu.be/BL-QynBl1Ug,59
https://youtu.be/oQEqmIYzQnE,701
https://youtu.be/Dg0pZxfKrMM,108
https://youtu.be/aDdRmG1VoMQ,90
https://youtu.be/HQaIkvodX74,67
https://youtu.be/bFHYWyXvrWI,133
https://youtu.be/tna9j_Sop6c,56
https://youtu.be/curbrH7H_wM,1070
https://youtu.be/RikLVQj1Qas,632
https://youtu.be/Y3G7vuo0BWQ,1244
https://youtu.be/fL8irONNevk,860
https://youtu.be/rg7KbYrhnUU,48
https://youtu.be/ddxSKrKdry8,41
https://youtu.be/D88uf_3h2r4,57
https://youtu.be/lIL0xp6MvSc,80
https://youtu.be/NhmwVBu82tc,134
https://youtu.be/v1k0WWFfyZU,223
https://youtu.be/hOPIJpdGN08,184
https://youtu.be/DqVAs_Wlqq8,110
https://youtu.be/NHOc9YsEA9s,196
https://youtu.be/NL9rACQxSx8,135
https://youtu.be/ft5eo64eo04,65
https://youtu.be/LvFM-TQ1fSQ,882
https://youtu.be/-gw7P3joDiQ,1370
https://youtu.be/7Ypyy6h_yag,562
https://youtu.be/nQ--_gRwhtA,78
https://youtu.be/7H8tBCiiwY8,178
https://youtu.be/RnqlKhTDh_8,527
https://youtu.be/wn6yjZ410zs,59
https://youtu.be/P7uUlX39u2k,48
https://youtu.be/NIisNKszEOc,111
https://youtu.be/gzADWY0kUI8,134
https://youtu.be/IcTeGm6IuEY,75
https://youtu.be/vzeFvdXFC-I,144
https://youtu.be/VTGH6FMeomM,304
https://youtu.be/L91M1_MI7UA,279
https://youtu.be/ig64xIKNSMU,517
https://youtu.be/PUjJZ6JBd08,186
https://youtu.be/TjMkdwZGoaw,92
https://youtu.be/0OyHA1RLBqM,127
https://youtu.be/fe2Y-tSEAc4,446
https://youtu.be/--n9zQGIu7o,849
https://youtu.be/WQ1hFO7O70c,36
https://youtu.be/XBEwDrVJf8A,62
https://youtu.be/fQOWwSBS7gE,83
https://youtu.be/XfDWS0jE1DM,69
https://youtu.be/R5H5k8Y0z2s,134
https://youtu.be/LVUSO62LL2k,167
https://youtu.be/3GnFT6s_iEA,114
https://youtu.be/cwWrEoScAio,94
https://youtu.be/j1cmNSUpolU,593
https://youtu.be/oJtjDeqZ_PU,737
https://youtu.be/yF46a4BEbho,737
https://youtu.be/Tb6_RT4mXs8,982
https://youtu.be/Gn_ippewpTI,128
https://youtu.be/4KYIZ9j927o,98
https://youtu.be/BmNXQ62g8so,107
https://youtu.be/pIKJiLvnx20,83
https://youtu.be/Xlw4IhhPWhI,590
https://youtu.be/8mGSgQdk3e0,574
https://youtu.be/u_L-tIP2luU,614
https://youtu.be/nrwOJHBZx8s,109
https://youtu.be/fRShSb35gzA,143
https://youtu.be/VbebCjUOUL8,75
https://youtu.be/NB1U4zWPzWk,107
https://youtu.be/0adUVMb03BU,667
https://youtu.be/FJueua3v9so,332
https://youtu.be/uIn4wWzyrKA,606
https://youtu.be/W_Fa7UYcKFI,347
https://youtu.be/L_O5pP-_nZI,111
https://youtu.be/w-mAtobSvsw,90
https://youtu.be/LPFwZoirq3Y,748
https://youtu.be/NrCLR06yrq8,200
https://youtu.be/mE4o-ZOzTvI,44
https://youtu.be/V4dRBsdfx0g,163
https://youtu.be/rfOrxnVEPeY,72
https://youtu.be/DSIDlzVhp3c,542
https://youtu.be/6_A2_SEP6YY,466
https://youtu.be/dlzRCq0tieo,432
https://youtu.be/7BcG6UbwTKA,187
https://youtu.be/dP98gA5xHF4,136
https://youtu.be/t5zKH9K9L3s,70
https://youtu.be/JvD2T-LnVyU,605
https://youtu.be/IhXbZH2uvjI,452
https://youtu.be/8tlVBqzcwEQ,167
https://youtu.be/JZVvwtSwRjw,148
https://youtu.be/EgicVkiVOUs,146
https://youtu.be/6vK1rnT7PZw,98
https://youtu.be/c3V2jm8ztgI,626
https://youtu.be/0eDME5Faccg,933
https://youtu.be/JFXnxnGbejw,631
https://youtu.be/VGVz69ldwgU,572
https://youtu.be/C9T9VpImA9E,121
https://youtu.be/WOOltvNvzFs,102
https://youtu.be/2mP0Qi39iAE,629
